,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,
지역,구분,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6
목포시,외지인(b),"1,711,812","1,763,422","1,899,030","1,738,376","1,925,122","1,707,251","1,886,892","2,025,681","2,166,496","1,873,354","1,764,483","1,893,150","1,795,220","1,923,530","1,994,542","1,825,716","1,909,915","1,771,917","1,940,676","2,144,919","2,139,704","2,130,432","2,020,592","2,012,692","2,089,745","1,535,121","1,486,020","1,462,006","1,888,170","1,701,340","1,862,892","2,020,056","1,655,255","2,083,062","1,808,876","1,681,670","1,626,541","1,696,051","1,832,089","1,744,043","1,907,686","1,793,183"
목포시,외국인(c),"3,336","2,888","4,083","4,711","5,746","4,860","6,728","6,558","8,568","8,184","7,227","6,052","6,092","5,522","8,023","7,663","7,243","6,995","9,778","10,954","8,273","8,738","10,089","10,036","3,170","2,020","1,468","1,349","1,418","1,942","2,414","1,784","2,322","2,081","2,090","2,031","1,574","1,444","1,799","1,907","1,816","1,436"
목포시,외부방문자(b+c),"1,715,147","1,766,310","1,903,113","1,743,088","1,930,869","1,712,111","1,893,620","2,032,239","2,175,064","1,881,538","1,771,710","1,899,202","1,801,312","1,929,052","2,002,565","1,833,379","1,917,158","1,778,912","1,950,454","2,155,873","2,147,977","2,139,171","2,030,681","2,022,728","2,092,915","1,537,141","1,487,487","1,463,355","1,889,588","1,703,281","1,865,307","2,021,841","1,657,577","2,085,143","1,810,966","1,683,700","1,628,115","1,697,495","1,833,888","1,745,950","1,909,502","1,794,619"
목포시,전년외부방문자(b'+c'),0,0,0,0,0,0,0,0,0,0,0,0,"1,715,147","1,766,310","1,903,113","1,743,088","1,930,869","1,712,111","1,893,620","2,032,239","2,175,064","1,881,538","1,771,710","1,899,202","1,801,312","1,929,052","2,002,565","1,833,379","1,917,158","1,778,912","1,950,454","2,155,873","2,147,977","2,139,171","2,030,681","2,022,728","2,092,915","1,537,141","1,487,487","1,463,355","1,889,588","1,703,281"
목포시,외부방문자 전년대비증감률(%),0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,5,-1,4,3,6,-1,14,15,6,16,-20,-26,-20,-1,-4,-4,-6,-23,-3,-11,-17,-22,10,23,19,1,5
목포시,현지인(a),0,0,0,0,0,0,0,0,0,0,"4,525,367","4,723,075","4,572,176","4,118,254","4,680,858","4,442,305","4,715,858","4,586,729","4,562,145","4,495,488","4,357,378","4,613,592","4,542,780","4,757,172","4,532,017","4,240,922","4,282,464","4,122,948","4,509,631","4,452,238","4,519,781","4,359,022","4,352,890","4,557,245","4,404,484","4,438,136","4,687,098","4,370,471","5,034,855","4,875,574","5,138,035","5,105,436"
