,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,
지역,구분,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6
통영시,외지인(b),"1,250,277","1,282,169","1,320,946","1,372,364","1,467,270","1,255,796","1,444,569","1,661,740","1,452,514","1,351,228","1,299,424","1,310,032","1,259,318","1,384,593","1,421,791","1,307,502","1,391,190","1,242,098","1,355,382","1,691,876","1,275,936","1,359,470","1,299,596","1,303,414","1,407,763","1,011,185","1,040,344","1,047,662","1,398,540","1,208,350","1,322,041","1,799,182","1,108,096","1,566,380","1,283,348","1,107,172","1,078,826","1,206,170","1,114,064","1,129,580","1,318,513","1,220,681"
통영시,외국인(c),"13,283","14,509","18,009","20,696","21,609","21,833","22,900","28,791","31,928","34,300","31,535","33,855","37,746","31,092","38,775","38,467","32,214","27,117","37,142","47,048","44,600","48,295","44,183","46,646","14,624","12,803","12,263","12,689","16,752","15,083","15,350","14,921","15,924","15,806","15,564","14,994","11,874","12,440","13,042","13,669","13,924","16,143"
통영시,외부방문자(b+c),"1,263,560","1,296,678","1,338,954","1,393,060","1,488,879","1,277,630","1,467,469","1,690,532","1,484,442","1,385,527","1,330,959","1,343,888","1,297,064","1,415,685","1,460,566","1,345,969","1,423,404","1,269,214","1,392,524","1,738,924","1,320,535","1,407,765","1,343,778","1,350,060","1,422,387","1,023,988","1,052,606","1,060,351","1,415,292","1,223,434","1,337,391","1,814,103","1,124,021","1,582,185","1,298,912","1,122,167","1,090,700","1,218,610","1,127,106","1,143,249","1,332,437","1,236,824"
통영시,전년외부방문자(b'+c'),0,0,0,0,0,0,0,0,0,0,0,0,"1,263,560","1,296,678","1,338,954","1,393,060","1,488,879","1,277,630","1,467,469","1,690,532","1,484,442","1,385,527","1,330,959","1,343,888","1,297,064","1,415,685","1,460,566","1,345,969","1,423,404","1,269,214","1,392,524","1,738,924","1,320,535","1,407,765","1,343,778","1,350,060","1,422,387","1,023,988","1,052,606","1,060,351","1,415,292","1,223,434"
통영시,외부방문자 전년대비증감률(%),0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,-3,-4,-1,-5,3,-11,2,1,0,10,-28,-28,-21,-1,-4,-4,4,-15,12,-3,-17,-23,19,7,8,-6,1
통영시,현지인(a),0,0,0,0,0,0,0,0,0,0,"1,965,894","2,015,671","1,981,360","1,798,878","2,031,740","1,944,400","2,053,222","1,959,706","2,013,144","1,958,173","1,959,346","2,045,547","2,016,654","2,099,832","2,025,552","1,900,185","1,979,274","1,956,031","2,124,700","2,105,890","2,167,946","2,119,232","2,108,754","2,167,102","2,120,426","2,102,730","2,050,503","1,937,320","2,202,434","2,157,746","2,234,522","2,225,416"
