지역,구분,2018,2019,2020
"안산시 단원구","외부방문자(b+c)","51,304,427","52,475,051","49,170,641"
"안산시 단원구","전년외부방문자(b'+c')","0","51,304,427","52,475,051"
"안산시 단원구","외부방문자 전년대비증감률(%)","0","2","-6"
"고양시 덕양구","현지인(a)","11,908,494","68,607,144","78,179,150"
"고양시 덕양구","외지인(b)","56,819,388","59,284,659","58,563,694"
"고양시 덕양구","외국인(c)","277,553","524,576","98,738"
"고양시 덕양구","외부방문자(b+c)","57,096,941","59,809,235","58,662,432"
"고양시 덕양구","전년외부방문자(b'+c')","0","57,096,941","59,809,235"
"고양시 덕양구","외부방문자 전년대비증감률(%)","0","5","-2"
"고양시 일산동구","현지인(a)","10,904,551","62,034,032","67,609,654"
"고양시 일산동구","외지인(b)","62,299,744","62,964,090","56,768,772"
"고양시 일산동구","외국인(c)","172,865","216,172","60,334"
"고양시 일산동구","외부방문자(b+c)","62,472,610","63,180,262","56,829,106"
"고양시 일산동구","전년외부방문자(b'+c')","0","62,472,610","63,180,262"
"고양시 일산동구","외부방문자 전년대비증감률(%)","0","1","-10"
"고양시 일산서구","현지인(a)","8,163,673","46,862,498","51,576,322"
"고양시 일산서구","외지인(b)","43,656,224","43,983,320","38,707,046"
"고양시 일산서구","외국인(c)","215,828","272,061","50,221"
"고양시 일산서구","외부방문자(b+c)","43,872,052","44,255,381","38,757,267"
"고양시 일산서구","전년외부방문자(b'+c')","0","43,872,052","44,255,381"
"고양시 일산서구","외부방문자 전년대비증감률(%)","0","1","-12"
"과천시","현지인(a)","2,281,510","14,085,533","15,780,454"
"과천시","외지인(b)","19,089,592","19,534,588","15,445,101"
"과천시","외국인(c)","52,669","75,783","11,993"
"과천시","외부방문자(b+c)","19,142,260","19,610,371","15,457,094"
"과천시","전년외부방문자(b'+c')","0","19,142,260","19,610,371"
"과천시","외부방문자 전년대비증감률(%)","0","2","-21"
"구리시","현지인(a)","6,832,578","40,206,576","46,173,228"
"구리시","외지인(b)","39,439,547","40,801,537","42,660,240"
"구리시","외국인(c)","60,113","69,297","19,992"
"구리시","외부방문자(b+c)","39,499,660","40,870,834","42,680,232"
"구리시","전년외부방문자(b'+c')","0","39,499,660","40,870,834"
"구리시","외부방문자 전년대비증감률(%)","0","3","4"
"남양주시","현지인(a)","18,713,432","110,602,398","122,508,782"
"남양주시","외지인(b)","59,661,070","66,050,092","67,591,898"
"남양주시","외국인(c)","162,264","221,371","62,543"
"남양주시","외부방문자(b+c)","59,823,334","66,271,463","67,654,441"
"남양주시","전년외부방문자(b'+c')","0","59,823,334","66,271,463"
"남양주시","외부방문자 전년대비증감률(%)","0","11","2"
"오산시","현지인(a)","5,843,632","32,788,560","36,782,305"
"오산시","외지인(b)","24,348,146","26,552,390","23,016,822"
"오산시","외국인(c)","103,066","119,509","30,444"
"오산시","외부방문자(b+c)","24,451,211","26,671,899","23,047,266"
"오산시","전년외부방문자(b'+c')","0","24,451,211","26,671,899"
"오산시","외부방문자 전년대비증감률(%)","0","9","-14"
"시흥시","현지인(a)","9,657,655","55,503,686","62,614,860"
"시흥시","외지인(b)","48,450,356","51,582,153","50,713,464"
"시흥시","외국인(c)","255,964","345,024","84,778"
"시흥시","외부방문자(b+c)","48,706,320","51,927,177","50,798,241"
"시흥시","전년외부방문자(b'+c')","0","48,706,320","51,927,177"
"시흥시","외부방문자 전년대비증감률(%)","0","7","-2"
"군포시","현지인(a)","8,158,829","45,934,942","50,219,575"
"군포시","외지인(b)","24,840,974","26,623,804","23,720,333"
"군포시","외국인(c)","89,882","110,634","62,084"
"군포시","외부방문자(b+c)","24,930,856","26,734,438","23,782,417"
"군포시","전년외부방문자(b'+c')","0","24,930,856","26,734,438"
"군포시","외부방문자 전년대비증감률(%)","0","7","-11"
"의왕시","현지인(a)","3,135,447","19,019,900","22,659,658"
"의왕시","외지인(b)","22,713,498","24,520,146","24,271,632"
"의왕시","외국인(c)","55,249","65,886","38,165"
"의왕시","외부방문자(b+c)","22,768,748","24,586,032","24,309,797"
"의왕시","전년외부방문자(b'+c')","0","22,768,748","24,586,032"
"의왕시","외부방문자 전년대비증감률(%)","0","8","-1"
"하남시","현지인(a)","7,281,852","45,114,972","54,024,576"
"하남시","외지인(b)","40,148,941","48,312,614","51,326,664"
"하남시","외국인(c)","80,894","115,914","55,997"
"하남시","외부방문자(b+c)","40,229,835","48,428,528","51,382,660"
"하남시","전년외부방문자(b'+c')","0","40,229,835","48,428,528"
"하남시","외부방문자 전년대비증감률(%)","0","20","6"
"용인시 처인구","현지인(a)","7,772,772","44,397,108","47,610,010"
"용인시 처인구","외지인(b)","40,932,476","42,778,508","38,322,078"
"용인시 처인구","외국인(c)","461,480","757,232","144,631"
"용인시 처인구","외부방문자(b+c)","41,393,956","43,535,740","38,466,708"
"용인시 처인구","전년외부방문자(b'+c')","0","41,393,956","43,535,740"
"용인시 처인구","외부방문자 전년대비증감률(%)","0","5","-12"
"용인시 기흥구","현지인(a)","11,514,006","67,197,802","75,802,076"
"용인시 기흥구","외지인(b)","51,298,051","58,515,618","53,080,328"
"용인시 기흥구","외국인(c)","242,418","282,853","73,314"
"용인시 기흥구","외부방문자(b+c)","51,540,469","58,798,471","53,153,642"
"용인시 기흥구","전년외부방문자(b'+c')","0","51,540,469","58,798,471"
"용인시 기흥구","외부방문자 전년대비증감률(%)","0","14","-10"
"용인시 수지구","현지인(a)","8,638,948","49,329,581","55,657,021"
"용인시 수지구","외지인(b)","34,290,008","36,844,938","32,995,004"
"용인시 수지구","외국인(c)","129,227","141,261","48,973"
"용인시 수지구","외부방문자(b+c)","34,419,235","36,986,198","33,043,977"
"용인시 수지구","전년외부방문자(b'+c')","0","34,419,235","36,986,198"
"용인시 수지구","외부방문자 전년대비증감률(%)","0","7","-11"
"파주시","현지인(a)","10,749,078","61,977,342","69,358,135"
"파주시","외지인(b)","45,784,074","47,375,111","47,838,301"
"파주시","외국인(c)","372,055","509,708","61,427"
"파주시","외부방문자(b+c)","46,156,129","47,884,819","47,899,728"
"파주시","전년외부방문자(b'+c')","0","46,156,129","47,884,819"
"파주시","외부방문자 전년대비증감률(%)","0","4","0"
"이천시","현지인(a)","7,403,616","42,523,698","47,772,172"
"이천시","외지인(b)","37,154,705","37,584,004","34,452,344"
"이천시","외국인(c)","167,004","190,311","42,055"
"이천시","외부방문자(b+c)","37,321,709","37,774,316","34,494,399"
"이천시","전년외부방문자(b'+c')","0","37,321,709","37,774,316"
"이천시","외부방문자 전년대비증감률(%)","0","1","-9"
"안성시","현지인(a)","5,903,492","33,149,347","36,403,248"
"안성시","외지인(b)","31,025,956","31,043,834","32,137,217"
"안성시","외국인(c)","154,445","212,887","38,099"
"안성시","외부방문자(b+c)","31,180,402","31,256,721","32,175,316"
"안성시","전년외부방문자(b'+c')","0","31,180,402","31,256,721"
"안성시","외부방문자 전년대비증감률(%)","0","0","3"
"김포시","현지인(a)","12,779,067","73,500,154","86,354,380"
"김포시","외지인(b)","45,065,762","47,667,134","48,238,484"
"김포시","외국인(c)","306,876","619,043","228,148"
"김포시","외부방문자(b+c)","45,372,638","48,286,176","48,466,632"
"김포시","전년외부방문자(b'+c')","0","45,372,638","48,286,176"
"김포시","외부방문자 전년대비증감률(%)","0","6","0"
"화성시","현지인(a)","19,430,208","115,074,155","134,749,230"
"화성시","외지인(b)","83,008,779","89,546,646","86,102,874"
"화성시","외국인(c)","564,933","770,990","287,292"
"화성시","외부방문자(b+c)","83,573,712","90,317,636","86,390,165"
"화성시","전년외부방문자(b'+c')","0","83,573,712","90,317,636"
"화성시","외부방문자 전년대비증감률(%)","0","8","-4"
"광주시","현지인(a)","10,126,694","58,844,628","65,791,502"
"광주시","외지인(b)","43,595,220","45,215,079","45,546,252"
"광주시","외국인(c)","135,736","172,350","56,628"
"광주시","외부방문자(b+c)","43,730,956","45,387,429","45,602,880"
"광주시","전년외부방문자(b'+c')","0","43,730,956","45,387,429"
"광주시","외부방문자 전년대비증감률(%)","0","4","0"
"양주시","현지인(a)","5,566,586","33,337,308","36,569,344"
"양주시","외지인(b)","27,264,909","29,263,255","29,124,666"
"양주시","외국인(c)","124,351","159,018","20,747"
"양주시","외부방문자(b+c)","27,389,260","29,422,273","29,145,413"
"양주시","전년외부방문자(b'+c')","0","27,389,260","29,422,273"
"양주시","외부방문자 전년대비증감률(%)","0","7","-1"
"포천시","현지인(a)","4,791,952","28,288,029","32,374,744"
"포천시","외지인(b)","24,478,965","26,015,616","26,489,428"
"포천시","외국인(c)","95,736","132,667","30,340"
"포천시","외부방문자(b+c)","24,574,701","26,148,282","26,519,768"
"포천시","전년외부방문자(b'+c')","0","24,574,701","26,148,282"
"포천시","외부방문자 전년대비증감률(%)","0","6","1"
"여주시","현지인(a)","3,833,928","21,781,988","23,831,252"
"여주시","외지인(b)","26,272,082","27,709,090","24,544,804"
"여주시","외국인(c)","92,359","117,169","18,227"
"여주시","외부방문자(b+c)","26,364,441","27,826,260","24,563,031"
"여주시","전년외부방문자(b'+c')","0","26,364,441","27,826,260"
"여주시","외부방문자 전년대비증감률(%)","0","6","-12"
"연천군","현지인(a)","1,326,843","8,097,845","9,481,504"
"연천군","외지인(b)","6,620,887","7,784,830","8,224,069"
"연천군","외국인(c)","20,379","25,205","3,802"
"연천군","외부방문자(b+c)","6,641,266","7,810,034","8,227,871"
"연천군","전년외부방문자(b'+c')","0","6,641,266","7,810,034"
"연천군","외부방문자 전년대비증감률(%)","0","18","5"
"가평군","현지인(a)","1,953,098","11,976,986","13,465,820"
"가평군","외지인(b)","24,593,978","23,094,194","24,432,415"
"가평군","외국인(c)","465,890","765,367","81,258"
"가평군","외부방문자(b+c)","25,059,868","23,859,560","24,513,673"
"가평군","전년외부방문자(b'+c')","0","25,059,868","23,859,560"
"가평군","외부방문자 전년대비증감률(%)","0","-5","3"
"양평군","현지인(a)","3,356,010","19,689,904","22,584,779"
"양평군","외지인(b)","30,421,450","29,930,516","30,417,184"
"양평군","외국인(c)","88,874","107,551","25,713"
"양평군","외부방문자(b+c)","30,510,324","30,038,067","30,442,897"
"양평군","전년외부방문자(b'+c')","0","30,510,324","30,038,067"
"양평군","외부방문자 전년대비증감률(%)","0","-2","1"
