지역,구분,2018,2019,2020
"청도군","외부방문자 전년대비증감률(%)","0","4","-8"
"고령군","현지인(a)","725,372","4,530,418","4,742,717"
"고령군","외지인(b)","4,988,361","5,232,266","5,499,742"
"고령군","외국인(c)","15,579","22,864","2,584"
"고령군","외부방문자(b+c)","5,003,940","5,255,130","5,502,327"
"고령군","전년외부방문자(b'+c')","0","5,003,940","5,255,130"
"고령군","외부방문자 전년대비증감률(%)","0","5","5"
"성주군","현지인(a)","1,138,746","7,414,004","7,868,679"
"성주군","외지인(b)","6,679,029","6,930,644","6,802,425"
"성주군","외국인(c)","20,732","26,398","4,723"
"성주군","외부방문자(b+c)","6,699,761","6,957,042","6,807,148"
"성주군","전년외부방문자(b'+c')","0","6,699,761","6,957,042"
"성주군","외부방문자 전년대비증감률(%)","0","4","-2"
"칠곡군","현지인(a)","2,431,079","15,190,746","15,187,179"
"칠곡군","외지인(b)","17,624,898","17,661,318","17,135,394"
"칠곡군","외국인(c)","43,634","56,388","25,313"
"칠곡군","외부방문자(b+c)","17,668,531","17,717,707","17,160,708"
"칠곡군","전년외부방문자(b'+c')","0","17,668,531","17,717,707"
"칠곡군","외부방문자 전년대비증감률(%)","0","0","-3"
"예천군","현지인(a)","1,301,184","8,709,904","9,247,284"
"예천군","외지인(b)","6,095,148","6,418,954","5,917,751"
"예천군","외국인(c)","14,253","20,081","3,208"
"예천군","외부방문자(b+c)","6,109,401","6,439,035","5,920,959"
"예천군","전년외부방문자(b'+c')","0","6,109,401","6,439,035"
"예천군","외부방문자 전년대비증감률(%)","0","5","-8"
"봉화군","현지인(a)","655,232","4,259,826","4,378,353"
"봉화군","외지인(b)","3,949,890","4,130,749","3,895,594"
"봉화군","외국인(c)","7,611","18,587","1,461"
"봉화군","외부방문자(b+c)","3,957,501","4,149,336","3,897,056"
"봉화군","전년외부방문자(b'+c')","0","3,957,501","4,149,336"
"봉화군","외부방문자 전년대비증감률(%)","0","5","-6"
"울진군","현지인(a)","1,733,886","10,759,420","11,161,752"
"울진군","외지인(b)","7,210,822","7,538,332","6,794,655"
"울진군","외국인(c)","47,481","58,786","18,859"
"울진군","외부방문자(b+c)","7,258,303","7,597,118","6,813,514"
"울진군","전년외부방문자(b'+c')","0","7,258,303","7,597,118"
"울진군","외부방문자 전년대비증감률(%)","0","5","-10"
"울릉군","현지인(a)","372,372","2,174,770","2,302,842"
"울릉군","외지인(b)","1,474,616","1,627,668","1,149,484"
"울릉군","외국인(c)","79,804","123,546","57,632"
"울릉군","외부방문자(b+c)","1,554,421","1,751,214","1,207,116"
"울릉군","전년외부방문자(b'+c')","0","1,554,421","1,751,214"
"울릉군","외부방문자 전년대비증감률(%)","0","13","-31"
