지역,구분,2018,2019,2020
"구로구","외부방문자 전년대비증감률(%)","0","8","-16"
"금천구","현지인(a)","4,811,513","27,507,725","29,199,275"
"금천구","외지인(b)","29,880,722","28,283,364","25,282,204"
"금천구","외국인(c)","277,533","308,216","76,029"
"금천구","외부방문자(b+c)","30,158,254","28,591,580","25,358,233"
"금천구","전년외부방문자(b'+c')","0","30,158,254","28,591,580"
"금천구","외부방문자 전년대비증감률(%)","0","-5","-11"
"영등포구","현지인(a)","14,150,048","79,912,032","85,361,140"
"영등포구","외지인(b)","103,402,820","102,863,218","87,317,223"
"영등포구","외국인(c)","1,247,033","1,814,334","249,287"
"영등포구","외부방문자(b+c)","104,649,854","104,677,553","87,566,510"
"영등포구","전년외부방문자(b'+c')","0","104,649,854","104,677,553"
"영등포구","외부방문자 전년대비증감률(%)","0","0","-16"
"동작구","현지인(a)","10,361,295","58,793,752","60,608,240"
"동작구","외지인(b)","57,482,719","58,348,552","47,944,414"
"동작구","외국인(c)","314,848","383,165","101,574"
"동작구","외부방문자(b+c)","57,797,567","58,731,718","48,045,988"
"동작구","전년외부방문자(b'+c')","0","57,797,567","58,731,718"
"동작구","외부방문자 전년대비증감률(%)","0","2","-18"
"관악구","현지인(a)","12,230,351","70,973,007","72,495,286"
"관악구","외지인(b)","52,744,870","57,769,408","47,171,064"
"관악구","외국인(c)","265,042","410,356","105,990"
"관악구","외부방문자(b+c)","53,009,913","58,179,763","47,277,054"
"관악구","전년외부방문자(b'+c')","0","53,009,913","58,179,763"
"관악구","외부방문자 전년대비증감률(%)","0","10","-19"
"서초구","현지인(a)","16,996,452","100,874,098","107,716,322"
"서초구","외지인(b)","152,368,332","161,902,514","136,644,742"
"서초구","외국인(c)","1,121,858","1,385,548","244,626"
"서초구","외부방문자(b+c)","153,490,190","163,288,062","136,889,369"
"서초구","전년외부방문자(b'+c')","0","153,490,190","163,288,062"
"서초구","외부방문자 전년대비증감률(%)","0","6","-16"
"강남구","현지인(a)","25,553,143","145,974,542","166,999,368"
"강남구","외지인(b)","196,553,004","201,867,586","182,961,062"
"강남구","외국인(c)","3,329,938","4,200,152","560,992"
"강남구","외부방문자(b+c)","199,882,942","206,067,738","183,522,054"
"강남구","전년외부방문자(b'+c')","0","199,882,942","206,067,738"
"강남구","외부방문자 전년대비증감률(%)","0","3","-11"
"송파구","현지인(a)","22,184,442","129,873,996","141,100,246"
"송파구","외지인(b)","113,352,673","115,990,308","97,293,032"
"송파구","외국인(c)","1,016,210","1,360,256","218,122"
"송파구","외부방문자(b+c)","114,368,883","117,350,564","97,511,154"
"송파구","전년외부방문자(b'+c')","0","114,368,883","117,350,564"
"송파구","외부방문자 전년대비증감률(%)","0","3","-17"
"강동구","현지인(a)","14,582,760","82,238,524","93,346,012"
"강동구","외지인(b)","48,920,098","52,673,474","48,515,684"
"강동구","외국인(c)","164,508","197,502","61,697"
"강동구","외부방문자(b+c)","49,084,606","52,870,976","48,577,381"
"강동구","전년외부방문자(b'+c')","0","49,084,606","52,870,976"
"강동구","외부방문자 전년대비증감률(%)","0","8","-8"
